president_muhammad 	 0.9991982579231262 
muhammad_mursi 	 0.9991852045059204 
störtade 	 0.999160885810852 
avsatte 	 0.9991605877876282 
landets 	 0.9991177320480347 
avsattes 	 0.9991165399551392 
ledare 	 0.9990959763526917 
armén 	 0.99909508228302 
militärkupp 	 0.999077558517456 
hosni_mubarak 	 0.9990750551223755 
mursis 	 0.9990691542625427 
alsisi 	 0.9990565776824951 
abd_alfattah 	 0.9990416169166565 
störtades 	 0.9990412592887878 
inför 	 0.9990369081497192 
presidenten_muhammad 	 0.9990275502204895 
presidenten 	 0.9990273118019104 
brödraskapet 	 0.9990181922912598 
anhängare 	 0.9990171194076538 
parti 	 0.9990108013153076 
2013 	 0.9990106821060181 
muslimska_brödraskapets 	 0.9989950656890869 
folkets 	 0.9989893436431885 
makt 	 0.9989882707595825 
organisationen 	 0.9989854097366333 
revolutionen 	 0.9989791512489319 
folket 	 0.9989784359931946 
juli 	 0.9989670515060425 
brödraskapets 	 0.9989636540412903 
tillbaka 	 0.9989439249038696 
islamisterna 	 0.9989426136016846 
president_mursi 	 0.9989398121833801 
folkvald 	 0.998938798904419 
oppositionen 	 0.9989364147186279 
anklagas 	 0.9989359974861145 
egyptens_president 	 0.9989339113235474 
valdes 	 0.9989324808120728 
styrt 	 0.9989269375801086 
avsatte_president 	 0.9989266395568848 
3_juli 	 0.998923659324646 
kandidat 	 0.9989149570465088 
generalen 	 0.9989138245582581 
ställa 	 0.9989129304885864 
frihets_rättvisepartiet 	 0.9989066123962402 
kuppen 	 0.9989050626754761 
sommaren 	 0.9989025592803955 
tills 	 0.9988941550254822 
avsatts 	 0.9988928437232971 
extrema 	 0.9988923072814941 
egypten 	 0.9988911747932434 
avsatte_presidenten 	 0.9988905191421509 
tt 	 0.9988898634910583 
tidigare 	 0.9988898038864136 
avgå 	 0.9988893270492554 
presidentvalet 	 0.9988892078399658 
nya 	 0.9988888502120972 
fria 	 0.9988868236541748 
militärens 	 0.9988866448402405 
demokratisk 	 0.9988841414451599 
demokratiska_val 	 0.9988834857940674 
högste 	 0.9988824129104614 
valde 	 0.9988820552825928 
30_år 	 0.998881459236145 
demokratiskt 	 0.9988812208175659 
uppmanade 	 0.9988794922828674 
hårt 	 0.9988788366317749 
protesterade 	 0.9988763332366943 
upproret 	 0.9988751411437988 
rörelsen 	 0.9988738894462585 
regeringen 	 0.9988736510276794 
arméchefen 	 0.9988725781440735 
mohammad_mursi 	 0.9988715052604675 
nye 	 0.9988704919815063 
islamister 	 0.9988700747489929 
valet 	 0.998869776725769 
muhammed_mursi 	 0.9988689422607422 
48_timmar 	 0.9988678693771362 
åter 	 0.998865008354187 
första_fria 	 0.9988628625869751 
egyptens 	 0.9988613128662109 
valen 	 0.9988595247268677 
somras 	 0.9988564848899841 
ambassadören 	 0.998855471611023 
adli 	 0.9988540410995483 
egyptier 	 0.9988535046577454 
förre 	 0.9988535046577454 
parlament 	 0.9988532066345215 
starkt 	 0.9988526105880737 
nasser 	 0.9988518953323364 
folkvalde 	 0.9988503456115723 
undantagstillstånd 	 0.9988502860069275 
demonstrera 	 0.9988495707511902 
mohammed_mursi 	 0.998848557472229 
egyptens_militär 	 0.9988468885421753 
krisen 	 0.9988449811935425 
hållas 	 0.9988400936126709 
meddelar 	 0.9988381862640381 
ultimatum 	 0.9988365173339844 
klart 	 0.9988358020782471 
igenom 	 0.9988347887992859 
